,Unnamed: 0,age,height,weight,rating,league,value,follower,captain,shots_total,shots_on,goals_total,goals_conceded,goals_assists,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_success,penalty_missed,penalty_saved,games_appearences,games_lineups,substitutes_in,substitutes_out,substitutes_bench,games_played
count,371.0,371.0,371.0,371.0,371.0,371.0,371.0,371.0,371.0,371.0,371.0,371.0,371.0,371.0,371.0,371.0,371.0,371.0,371.0,371.0,371.0,371.0,371.0,371.0,371.0,371.0,371.0,371.0,371.0,371.0,371.0,371.0,371.0,371.0,371.0,371.0,371.0,371.0,371.0,371.0
mean,2027.0202156334233,26.015380105858483,180.47133215491894,74.53704665602466,5.677301622182749,49.05610216551427,35.63746630727763,4538382.555256065,0.048547169811320755,1.5682194070080866,0.5891840970350404,0.21270269541778977,0.04630619946091644,0.1292789757412399,36.15977035040431,1.1278307277628032,7.788318867924528,0.9047215633423181,0.1617299191374663,0.888890566037736,7.994290566037735,4.029156064690026,1.963798652291105,1.1883727762803236,1.1778606469002697,1.0277927223719676,0.16162371967654987,0.0037967654986522906,0.0031487870619946096,0.016598382749326148,0.007363611859838275,0.019236388140161723,0.005016172506738545,0.0012237196765498655,1.1891177897574123,1.0061741239892183,0.18294609164420486,0.2679676549865229,0.3210493261455526,91.83574123989217
std,1149.1832982464557,3.0620655614641628,15.06137819113755,10.831032598974275,1.1948688229454865,2.8874546878101457,22.106620582148032,16965944.676697627,0.14876015127322653,1.1242037658190838,0.4993518958966726,0.20672225940438932,0.21116273969888363,0.09907366077565015,16.71963548463496,0.7450383066692639,2.8286482084194193,0.5964408387496284,0.17244391832503325,0.5705838090298182,3.4425604630765436,1.6963926140839347,1.5140391412246714,0.9036784595811278,0.7189845472636422,0.49435439320595514,0.08933917017606685,0.007030246644898295,0.0062516780350986454,0.022726410343632385,0.011471386112917772,0.036647431190537164,0.00973774808377861,0.006671612161188216,0.15397516421872298,0.029925987603215843,0.16475592219051075,0.1918379864862031,0.25053150650076866,25.927829109944472
min,4.0,20.0,0.0,0.0,1.1666666666666667,39.723333333333336,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5309999999999997,0.0,0.9908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9916,0.8798999999999998,0.0,0.0,0.008000000000000002,50.470000000000006
25%,1045.75,23.863636363636363,176.86,70.0,4.925824175824176,47.878,20.0,143088.0,0.0,0.6302500000000001,0.17375,0.05255,0.0,0.04715,22.0184,0.5383,5.87595,0.4622499999999999,0.03875000000000001,0.37345,6.20355,3.1418,0.7962,0.5288999999999999,0.6360999999999999,0.70465,0.0978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0699,0.9917499999999998,0.05875,0.098,0.13495000000000001,75.14499999999998
50%,2033.0,26.0,181.0,75.0,5.916666666666667,49.16583333333333,28.0,706256.0,0.0,1.2490000000000003,0.39009999999999995,0.13579999999999998,0.0,0.1121,35.20979999999999,1.0952,7.3885,0.8262,0.10769999999999996,0.9092000000000001,7.958399999999998,4.0027,1.6926999999999994,1.0003999999999997,1.0801,0.9657,0.1449,0.0,0.0,0.0096,0.0,0.0,0.0,0.0,1.1569,1.0058000000000002,0.14619999999999997,0.2539,0.262,91.27
75%,2978.25,28.0,187.0,80.0,6.5993589743589745,50.63678571428571,40.25,2681188.0,0.015649999999999997,2.436,0.9493499999999999,0.32249999999999995,0.0,0.19569999999999999,47.438649999999996,1.5985500000000004,9.266750000000002,1.22505,0.22500000000000003,1.2848,9.91825,4.9171499999999995,2.8942499999999995,1.7419000000000004,1.56155,1.3613499999999998,0.22535,0.008649999999999998,0.0,0.0249,0.0116,0.019950000000000002,0.00885,0.0,1.2636,1.0230499999999998,0.25325,0.40054999999999996,0.4579,104.85500000000002
max,3973.5,35.0,199.0,100.0,8.222222222222221,56.980000000000004,180.0,222106900.0,0.9899000000000002,5.874899999999999,2.7070000000000003,0.9859000000000001,1.3736,0.503,81.7024,3.6542000000000003,19.992600000000003,3.8403999999999994,1.3233999999999997,2.378,21.4957,10.376099999999997,9.171099999999997,5.356000000000001,4.6956,2.5238,0.5103,0.0424,0.037399999999999996,0.1187,0.05700000000000001,0.2233,0.0585,0.06720000000000001,1.8625000000000003,1.1013,0.9709000000000001,0.8125999999999999,1.4266000000000003,312.3400000000001
